scenario,split,cohort,method,configuration,run,checkpoint,packet_loss,target_reduction,n_available,n_tx_attempts,n_delivered,transmission_rate,transmission_reduction,mae,event_tp,event_fp,event_fn,precision,recall,f1,aoi_raw,mae_ok,event_ok,aoi_ok,all_constraints_satisfied,n_true_events,aggregation,source,packet_loss_mode,notes,policy_run,loss_mask_id,result_source,prob_threshold
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.60,42,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_42\best_model.pt,0.0,,206815.0,39738.0,39738.0,0.1921427362618765,0.8078572637381234,9.414401742908955,820.0,31.0,6.0,0.963572267920094,0.9927360774818402,0.9779367918902804,2.265771264189084,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,42,,direct_measured,0.6
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.60,123,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_123\best_model.pt,0.0,,206815.0,42667.0,42667.0,0.2063051519473926,0.7936948480526074,9.019263104028072,820.0,16.0,6.0,0.9808612440191388,0.9927360774818402,0.98676293622142,2.0961086922718084,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,123,,direct_measured,0.6
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.60,2024,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_2024\best_model.pt,0.0,,206815.0,40200.0,40200.0,0.1943766167831153,0.8056233832168846,9.257083695945743,820.0,21.0,6.0,0.9750297265160524,0.9927360774818402,0.9838032393521297,2.2626768776240085,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,2024,,direct_measured,0.6
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.60,3407,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_3407\best_model.pt,0.0,,206815.0,41494.0,41494.0,0.2006334163382733,0.7993665836617266,9.154221181822033,820.0,21.0,6.0,0.9750297265160524,0.9927360774818402,0.9838032393521297,2.175672523713264,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,3407,,direct_measured,0.6
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.60,9999,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_9999\best_model.pt,0.0,,206815.0,42032.0,42032.0,0.2032347750404951,0.7967652249595049,9.158220204754132,821.0,24.0,5.0,0.9715976331360948,0.9939467312348668,0.9826451226810292,2.1234450318768467,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,9999,,direct_measured,0.6
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.65,42,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_42\best_model.pt,0.0,,206815.0,37870.0,37870.0,0.1831105093924522,0.8168894906075478,9.57252952144189,818.0,30.0,8.0,0.964622641509434,0.9903147699757868,0.977299880525687,2.3935429948686053,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,42,,direct_measured,0.65
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.65,123,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_123\best_model.pt,0.0,,206815.0,40494.0,40494.0,0.1957981771148127,0.8042018228851873,9.24312023135984,821.0,23.0,5.0,0.9727488151658767,0.9939467312348668,0.9832335329341316,2.2193593531332607,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,123,,direct_measured,0.65
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.65,2024,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_2024\best_model.pt,0.0,,206815.0,38123.0,38123.0,0.1843338249159877,0.8156661750840123,9.446600905792806,819.0,25.0,7.0,0.9703791469194312,0.9915254237288136,0.9808383233532936,2.403487016016172,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,2024,,direct_measured,0.65
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.65,3407,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_3407\best_model.pt,0.0,,206815.0,39666.0,39666.0,0.1917945990377874,0.8082054009622126,9.410759262693764,821.0,26.0,5.0,0.9693034238488784,0.9939467312348668,0.9814704124327556,2.280489037474732,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,3407,,direct_measured,0.65
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.65,9999,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_9999\best_model.pt,0.0,,206815.0,40011.0,40011.0,0.1934627565698813,0.8065372434301187,9.386357641303563,820.0,32.0,6.0,0.9624413145539906,0.9927360774818402,0.9773539928486292,2.2436673923184576,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,9999,,direct_measured,0.65
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.70,42,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_42\best_model.pt,0.0,,206815.0,35474.0,35474.0,0.1715252762130406,0.8284747237869594,9.79590991064602,820.0,45.0,6.0,0.9479768786127168,0.9927360774818402,0.9698403311649912,2.5885554346135904,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,42,,direct_measured,0.7
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.70,123,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_123\best_model.pt,0.0,,206815.0,38648.0,38648.0,0.1868723255083045,0.8131276744916955,9.506740323606891,819.0,30.0,7.0,0.9646643109540636,0.9915254237288136,0.977910447761194,2.3360674856165446,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,123,,direct_measured,0.7
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.70,2024,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_2024\best_model.pt,0.0,,206815.0,35916.0,35916.0,0.1736624519498102,0.8263375480501898,9.67539891982984,820.0,34.0,6.0,0.9601873536299764,0.9927360774818402,0.9761904761904764,2.583556212097652,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,2024,,direct_measured,0.7
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.70,3407,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_3407\best_model.pt,0.0,,206815.0,37666.0,37666.0,0.1821241205908662,0.8178758794091338,9.600458767122475,819.0,34.0,7.0,0.9601406799531068,0.9915254237288136,0.9755807027992852,2.420898771575182,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,3407,,direct_measured,0.7
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.70,9999,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_9999\best_model.pt,0.0,,206815.0,38404.0,38404.0,0.1856925271377801,0.8143074728622198,9.629608517258374,818.0,34.0,8.0,0.960093896713615,0.9903147699757868,0.9749702026221692,2.3386098584979007,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,9999,,direct_measured,0.7
