method,seed,condition,level,steps,n_sensors,n_locally_available,n_tx,transmit_rate,transmission_reduction_pct,mae_skipped,n_skipped_eval,n_true_events,n_server_events,event_recall,event_precision,event_f1,tp,fn,fp,n_high_co2_events,recall_high_co2,n_rapid_rise_events,recall_rapid_rise,mean_aoi,mean_aoi_state,mean_aoi_raw,p90_aoi,p95_aoi,max_aoi,shield_overrides,mean_reward_per_step,packet_delivery_ratio,tx_requested,tx_delivered,graph,reconstructor,adjacency_is_identity
cmappo_kl,42,packet_loss,0.4,6431,40,206815,62904,0.3041558881125644,69.58441118874357,10.15503628206494,168954,826,851,0.940677966101695,0.9130434782608696,0.9266547406082288,777,49,74,751,0.9747003994673769,78,0.5897435897435898,2.460589332918675,2.454684341471,2.460589332918675,5.0,6.0,15.0,0,-0.5080563434720259,0.6018854126923566,62904,37861,hybrid,locf,False
campus_senserl_bc,123,packet_loss,0.4,6431,40,206815,59690,0.2886154292483621,71.1384570751638,10.273472804326955,170836,826,851,0.9455205811138014,0.917743830787309,0.9314251639833034,781,45,70,751,0.9733688415446072,78,0.6666666666666666,2.5915953972943555,2.584329808738921,2.5915953972943555,5.0,6.0,14.0,0,-0.4976313727529076,0.6027642821243089,59690,35979,hybrid,locf,False
cmappo_kl,123,packet_loss,0.4,6431,40,206815,66912,0.3235355269201944,67.64644730798057,9.815483375068307,166527,826,838,0.9394673123486684,0.9260143198090692,0.9326923076923076,776,50,62,751,0.9760319573901464,78,0.5769230769230769,2.3181037163738143,2.3123736588399937,2.3181037163738143,5.0,5.0,15.0,0,-0.5214421153929066,0.602104256336681,66912,40288,hybrid,locf,False
campus_senserl_bc,2024,packet_loss,0.4,6431,40,206815,59136,0.2859367067185649,71.4063293281435,10.39148264984227,171180,826,854,0.9443099273607748,0.9133489461358314,0.9285714285714286,780,46,74,751,0.9760319573901464,78,0.6410256410256411,2.6137925672523714,2.6053957393873426,2.6137925672523714,5.0,6.0,15.0,0,-0.4964578797518366,0.6025940205627706,59136,35635,hybrid,locf,False
cmappo_kl,2024,packet_loss,0.4,6431,40,206815,63051,0.3048666682784131,69.51333317215868,10.017925667993175,168864,826,850,0.9382566585956416,0.9117647058823528,0.9248210023866348,775,51,75,751,0.9813581890812252,78,0.5128205128205128,2.474860052868916,2.4682941999689008,2.474860052868916,5.0,6.0,15.0,0,-0.5093484985479968,0.6019095652725571,63051,37951,hybrid,locf,False
campus_senserl_bc,3407,packet_loss,0.4,6431,40,206815,59469,0.2875468413799772,71.24531586200227,10.359265151426532,170974,826,856,0.9322033898305084,0.8995327102803738,0.915576694411415,770,56,86,751,0.9693741677762984,78,0.5641025641025641,2.6027911677810605,2.595055201368372,2.6027911677810605,5.0,6.0,15.0,0,-0.497458447981629,0.6026837511981032,59469,35841,hybrid,locf,False
cmappo_kl,3407,packet_loss,0.4,6431,40,206815,66554,0.3218045112781955,67.81954887218045,9.87635011544574,166745,826,825,0.9358353510895884,0.936969696969697,0.9364021804966688,773,53,52,751,0.9760319573901464,78,0.5512820512820513,2.317116311615612,2.312167625563676,2.317116311615612,5.0,5.0,16.0,0,-0.5211066122637835,0.6020674940649698,66554,40070,hybrid,locf,False
campus_senserl_bc,9999,packet_loss,0.4,6431,40,206815,59710,0.2887121340328312,71.12878659671688,10.30972814124479,170824,826,847,0.9285714285714286,0.9055489964580874,0.9169157202630006,767,59,80,751,0.9693741677762984,78,0.5128205128205128,2.5892201834862387,2.5817641113357177,2.5892201834862387,5.0,6.0,15.0,0,-0.4977917638830599,0.6027633562217384,59710,35991,hybrid,locf,False
cmappo_kl,9999,packet_loss,0.4,6431,40,206815,66447,0.3212871406812852,67.87128593187148,9.931819408058416,166807,826,843,0.950363196125908,0.9311981020166074,0.9406830437387658,785,41,58,751,0.9840213049267644,78,0.6282051282051282,2.313434924584046,2.3081985694293268,2.313434924584046,5.0,5.0,15.0,0,-0.5203185597133627,0.6021039324574473,66447,40008,hybrid,locf,False
semantic_expert,42,sensor_outage,0.1,6431,40,185702,48661,0.2620381040591916,73.79618959408084,7.270021380462781,137041,826,835,0.9987893462469734,0.9880239520958084,0.9933774834437086,825,1,10,751,1.0,78,0.9871794871794872,2.3703739698336186,2.3703739698336186,2.3703739698336186,8.0,8.0,8.0,0,-0.38487082757984,1.0,48661,48661,hybrid,locf,False
campus_senserl_bc,42,sensor_outage,0.1,6431,40,185702,37558,0.2022487641490129,79.77512358509871,9.262555351549844,148144,826,843,0.9915254237288136,0.9715302491103204,0.981426003594967,819,7,24,751,0.996005326231691,78,0.9487179487179488,2.723464468978386,2.723464468978386,2.723464468978386,8.0,8.0,8.0,0,-0.3542621011900281,1.0,37558,37558,hybrid,locf,False
cmappo_kl,42,sensor_outage,0.1,6431,40,185702,39630,0.2134064253481384,78.65935746518615,8.961060299030615,146072,826,837,0.9927360774818402,0.9796893667861408,0.9861695730607336,820,6,17,751,0.9973368841544608,78,0.9487179487179488,2.6252526823200126,2.6252526823200126,2.6252526823200126,8.0,8.0,8.0,0,-0.3575138423909115,1.0,39630,39630,hybrid,locf,False
campus_senserl_bc,123,sensor_outage,0.1,6431,40,185702,37323,0.200983295818031,79.90167041819689,9.256269418179125,148379,826,840,0.9927360774818402,0.9761904761904762,0.9843937575030012,820,6,20,751,0.996005326231691,78,0.9615384615384616,2.73943787902348,2.73943787902348,2.73943787902348,8.0,8.0,8.0,0,-0.3542600047971403,1.0,37323,37323,hybrid,locf,False
cmappo_kl,123,sensor_outage,0.1,6431,40,185702,42641,0.2296205748995702,77.03794251004297,8.529704112231846,143061,826,831,0.9975786924939468,0.9915764139590856,0.9945684972842488,824,2,7,751,0.9986684420772304,78,0.9871794871794872,2.482914787746852,2.482914787746852,2.482914787746852,8.0,8.0,8.0,0,-0.3631236480767469,1.0,42641,42641,hybrid,locf,False
campus_senserl_bc,2024,sensor_outage,0.1,6431,40,185702,36909,0.1987539175668544,80.12460824331455,9.332851679850531,148793,826,839,0.9927360774818402,0.9773539928486292,0.984984984984985,820,6,19,751,0.996005326231691,78,0.9615384615384616,2.76983750583113,2.76983750583113,2.76983750583113,8.0,8.0,8.0,0,-0.3539377448091592,1.0,36909,36909,hybrid,locf,False
cmappo_kl,2024,sensor_outage,0.1,6431,40,185702,39894,0.2148280578561351,78.51719421438649,8.852045155272688,145808,826,833,0.9939467312348668,0.985594237695078,0.9897528631705848,821,5,12,751,0.9973368841544608,78,0.9615384615384616,2.6338710931425906,2.6338710931425906,2.6338710931425906,8.0,8.0,8.0,0,-0.3591999166735818,1.0,39894,39894,hybrid,locf,False
campus_senserl_bc,3407,sensor_outage,0.1,6431,40,185702,37108,0.1998255269194731,80.0174473080527,9.31040284264506,148594,826,841,0.9939467312348668,0.976218787158145,0.98500299940012,821,5,20,751,0.9973368841544608,78,0.9615384615384616,2.7563364951018503,2.7563364951018503,2.7563364951018503,8.0,8.0,8.0,0,-0.3540953185371556,1.0,37108,37108,hybrid,locf,False
