method,configuration,scenario,split,packet_loss,loss_mask_id,prob_threshold,seconds,stage
cmappo_kl,tau=0.5,packet_loss,val,0.2,1,,21.207329699987895,
cmappo_kl,tau=0.5,packet_loss,val,0.2,1,,21.43625160001102,
cmappo_kl,tau=0.5,packet_loss,val,0.2,1,,21.32210610000766,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.2,2,,11.141474399992148,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.2,2,,11.170301899997867,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.2,2,,11.280730500002392,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.2,2,,11.117431999999098,
cmappo_kl,tau=0.5,packet_loss,val,0.2,2,,21.30111110000871,
cmappo_kl,tau=0.5,packet_loss,val,0.2,2,,21.65008680000028,
cmappo_kl,tau=0.5,packet_loss,val,0.2,2,,21.859075000000303,
cmappo_kl,tau=0.5,packet_loss,val,0.2,2,,21.803367700005765,
cmappo_kl,tau=0.5,packet_loss,val,0.2,2,,21.3111065000121,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.2,3,,11.120603800009121,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.2,3,,11.115084499993827,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.2,3,,10.986581300006947,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.2,3,,12.676178100009565,
cmappo_kl,tau=0.5,packet_loss,val,0.2,3,,21.396641300001647,
cmappo_kl,tau=0.5,packet_loss,val,0.2,3,,21.094173799996497,
cmappo_kl,tau=0.5,packet_loss,val,0.2,3,,21.3819111000048,
cmappo_kl,tau=0.5,packet_loss,val,0.2,3,,21.436932399999932,
cmappo_kl,tau=0.5,packet_loss,val,0.2,3,,21.319576200010488,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.2,4,,11.162137899998925,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.2,4,,11.11098340000899,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.2,4,,12.38011070000357,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.2,4,,14.605570700005046,
cmappo_kl,tau=0.5,packet_loss,val,0.2,4,,31.574337900005048,
cmappo_kl,tau=0.5,packet_loss,val,0.2,4,,32.82176310000068,
cmappo_kl,tau=0.5,packet_loss,val,0.2,4,,30.942317599998205,
cmappo_kl,tau=0.5,packet_loss,val,0.2,4,,31.893577499999083,
cmappo_kl,tau=0.5,packet_loss,val,0.2,4,,34.430948500012164,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.4,0,,14.082279900001595,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.4,0,,14.029207100000349,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.4,0,,13.994001500002923,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.4,0,,14.617779000007431,
cmappo_kl,tau=0.5,packet_loss,val,0.4,0,,32.23447209999722,
cmappo_kl,tau=0.5,packet_loss,val,0.4,0,,32.33128280000528,
cmappo_kl,tau=0.5,packet_loss,val,0.4,0,,26.162060699993162,
cmappo_kl,tau=0.5,packet_loss,val,0.4,0,,21.94009420000657,
cmappo_kl,tau=0.5,packet_loss,val,0.4,0,,22.955740300007164,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.4,1,,14.203378099991824,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.4,1,,15.064472500002012,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.4,1,,15.925457899997127,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.4,1,,15.13867320001009,
cmappo_kl,tau=0.5,packet_loss,val,0.4,1,,33.0831535999896,
cmappo_kl,tau=0.5,packet_loss,val,0.4,1,,30.006024200003594,
cmappo_kl,tau=0.5,packet_loss,val,0.4,1,,30.35697849999997,
cmappo_kl,tau=0.5,packet_loss,val,0.4,1,,26.86957869998878,
cmappo_kl,tau=0.5,packet_loss,val,0.4,1,,26.59694600000512,
