method,policy_run,loss_mask_id,packet_loss,n_available,n_tx_attempts,n_delivered,attempt_rate,delivery_rate,attempt_based_reduction,transmission_reduction,mae,event_recall,precision,f1,aoi,configuration,result_source,source,packet_loss_mode,notes
cmappo_kl,123,0.0,0.1,206815.0,51261.0,46045.0,0.24785919783381283,0.22263859004424244,0.7521408021661872,0.7521408021661872,8.804652609317658,0.9891041162227604,0.9737783075089392,0.9813813813813814,1.915444720883222,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,0.0,0.1,206815.0,48017.0,43210.0,0.2321736817929067,0.20893068684573168,0.7678263182070932,0.7678263182070932,9.020812322361786,0.9878934624697336,0.9702734839476812,0.979004199160168,2.0874164204633807,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,0.0,0.1,206815.0,50068.0,45055.0,0.24209075744022435,0.21785170321301647,0.7579092425597757,0.7579092425597757,8.969658753709199,0.9891041162227604,0.9737783075089392,0.9813813813813814,1.968414709998445,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,0.0,0.1,206815.0,50611.0,45467.0,0.24471629233856346,0.21984382177308223,0.7552837076614365,0.7552837076614365,8.97473783375065,0.9878934624697336,0.9691211401425178,0.9784172661870504,1.9274840615767377,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,1.0,0.1,206815.0,51149.0,45967.0,0.24731765104078524,0.22226144138481252,0.7526823489592147,0.7526823489592147,11.864766736297623,0.887409200968523,0.8464203233256351,0.8664302600472813,2.344312704089566,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
fixed_75,deterministic,1.0,0.1,206815.0,41325.0,37216.0,0.1998162609095085,0.17994826294030897,0.8001837390904916,0.8001837390904916,12.304211699361437,0.887409200968523,0.8348519362186788,0.8603286384976526,2.939702223604416,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
delta_plus_heartbeat,deterministic,1.0,0.1,206815.0,60252.0,54221.0,0.2913328336919469,0.2621715059352561,0.708667166308053,0.708667166308053,9.503263562132194,0.9830508474576272,0.9344073647871116,0.9581120943952802,1.5160667081324832,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
semantic_expert,deterministic,1.0,0.1,206815.0,57407.0,51747.0,0.27757657810120157,0.25020912409641466,0.7224234218987984,0.7224234218987984,7.592946320323987,0.9915254237288136,0.9738406658739596,0.9826034793041392,1.8225664748872648,frozen_expert_thresholds,new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
cmappo_kl,42,1.0,0.1,206815.0,47498.0,42955.0,0.22966419263593066,0.20769770084374925,0.7703358073640694,0.7703358073640694,9.145514463566458,0.9891041162227604,0.9645808736717828,0.976688583383144,2.080916653708599,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,123,1.0,0.1,206815.0,51145.0,46122.0,0.2472983100838914,0.2230109034644489,0.7527016899161086,0.7527016899161086,8.767643892391082,0.9915254237288136,0.975,0.9831932773109244,1.9162921785103408,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,1.0,0.1,206815.0,48039.0,43278.0,0.23228005705582283,0.20925948311292702,0.7677199429441772,0.7677199429441772,8.999761521857438,0.9891041162227604,0.9772727272727272,0.9831528279181708,2.088913077281916,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,1.0,0.1,206815.0,50021.0,45110.0,0.2418635011967217,0.2181176413703068,0.7581364988032783,0.7581364988032783,8.936544942951672,0.9903147699757868,0.9761336515513126,0.9831730769230768,1.9711903280982737,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,1.0,0.1,206815.0,50570.0,45547.0,0.24451804753040157,0.22023064091095906,0.7554819524695984,0.7554819524695984,8.9600230671925,0.9891041162227604,0.9737783075089392,0.9813813813813814,1.928312082102317,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,2.0,0.1,206815.0,51149.0,45892.0,0.24731765104078524,0.22189879844305296,0.7526823489592147,0.7526823489592147,11.897267637317226,0.8668280871670703,0.8453364817001181,0.8559473998804543,2.3533626185663192,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=2 seed=20260319; cost counted on attempts"
fixed_75,deterministic,2.0,0.1,206815.0,41325.0,37211.0,0.1998162609095085,0.17992408674419166,0.8001837390904916,0.8001837390904916,12.382479186811633,0.8789346246973365,0.8297142857142857,0.853615520282187,2.943943399160317,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=2 seed=20260319; cost counted on attempts"
delta_plus_heartbeat,deterministic,2.0,0.1,206815.0,60249.0,54303.0,0.29131832797427654,0.2625679955515799,0.7086816720257234,0.7086816720257234,9.484906105749056,0.9794188861985472,0.9277522935779816,0.9528857479387516,1.514702223604416,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=2 seed=20260319; cost counted on attempts"
semantic_expert,deterministic,2.0,0.1,206815.0,57472.0,51785.0,0.2778908686507265,0.2503928631869062,0.7221091313492736,0.7221091313492736,7.581551957685609,0.9878934624697336,0.9691211401425178,0.9784172661870504,1.8260923651065155,frozen_expert_thresholds,new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=2 seed=20260319; cost counted on attempts"
cmappo_kl,42,2.0,0.1,206815.0,47682.0,42928.0,0.2305538766530474,0.20756714938471582,0.7694461233469526,0.7694461233469526,9.174400654109236,0.9854721549636803,0.9576470588235294,0.9713603818615753,2.081616389364018,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=2 seed=20260319; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,123,2.0,0.1,206815.0,51118.0,46122.0,0.24716775862485796,0.2230109034644489,0.752832241375142,0.752832241375142,8.800177979127902,0.986682808716707,0.9702380952380952,0.978391356542617,1.9181387031565853,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=2 seed=20260319; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,2.0,0.1,206815.0,48054.0,43237.0,0.23235258564417474,0.20906123830476514,0.7676474143558253,0.7676474143558253,9.016505887099733,0.986682808716707,0.966785290628707,0.9766327142001198,2.089465090965635,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=2 seed=20260319; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,2.0,0.1,206815.0,50099.0,45091.0,0.24224064985615162,0.21802577182506105,0.7577593501438484,0.7577593501438484,8.952963072889615,0.986682808716707,0.9679334916864608,0.9772182254196644,1.9710464935468823,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=2 seed=20260319; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,2.0,0.1,206815.0,50515.0,45524.0,0.24425210937311123,0.22011943040881948,0.7557478906268887,0.7557478906268887,8.984710864214371,0.986682808716707,0.9644970414201184,0.9754637941352484,1.9286580625097185,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=2 seed=20260319; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,3.0,0.1,206815.0,51149.0,46047.0,0.24731765104078524,0.22264826052268935,0.7526823489592147,0.7526823489592147,11.854734773089172,0.8777239709443099,0.8440046565774156,0.8605341246290801,2.337062665215363,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=3 seed=20260320; cost counted on attempts"
fixed_75,deterministic,3.0,0.1,206815.0,41325.0,37165.0,0.1998162609095085,0.17970166573991248,0.8001837390904916,0.8001837390904916,12.403583849101093,0.8716707021791767,0.8247422680412371,0.8475573866980576,2.943784014927694,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=3 seed=20260320; cost counted on attempts"
delta_plus_heartbeat,deterministic,3.0,0.1,206815.0,60349.0,54292.0,0.2918018518966226,0.26251480792012183,0.7081981481033774,0.7081981481033774,9.471856703579132,0.9782082324455206,0.9384436701509872,0.9579134558387672,1.5170580003109937,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=3 seed=20260320; cost counted on attempts"
semantic_expert,deterministic,3.0,0.1,206815.0,57586.0,51665.0,0.278442085922201,0.2498126344800909,0.721557914077799,0.721557914077799,7.606993232355784,0.9854721549636803,0.9655990510083036,0.975434391851408,1.830613434924584,frozen_expert_thresholds,new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=3 seed=20260320; cost counted on attempts"
cmappo_kl,42,3.0,0.1,206815.0,47688.0,42886.0,0.23058288808838817,0.20736406933733045,0.7694171119116118,0.7694171119116118,9.150168670582996,0.9818401937046004,0.9518779342723004,0.9666269368295592,2.083031410356088,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=3 seed=20260320; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,123,3.0,0.1,206815.0,51247.0,46114.0,0.24779150448468437,0.2229722215506612,0.7522084955153157,0.7522084955153157,8.796541402978201,0.9842615012106536,0.9655581947743468,0.974820143884892,1.9181348157362768,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=3 seed=20260320; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,3.0,0.1,206815.0,48060.0,43209.0,0.2323815970795155,0.20892585160650823,0.7676184029204844,0.7676184029204844,9.03002334877694,0.9830508474576272,0.962085308056872,0.9724550898203592,2.088438812004354,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=3 seed=20260320; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,3.0,0.1,206815.0,50127.0,45077.0,0.24237603655440854,0.2179580784759326,0.7576239634455915,0.7576239634455915,8.940725123347637,0.9842615012106536,0.9655581947743468,0.974820143884892,1.9721544083346287,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=3 seed=20260320; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,3.0,0.1,206815.0,50622.0,45525.0,0.24476947997002152,0.22012426564804294,0.7552305200299785,0.7552305200299785,8.946896893793788,0.9830508474576272,0.963226571767497,0.9730377471539844,1.9306639713885865,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=3 seed=20260320; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,4.0,0.1,206815.0,51149.0,45948.0,0.24731765104078524,0.22216957183956676,0.7526823489592147,0.7526823489592147,11.92752397943643,0.887409200968523,0.8377142857142857,0.8618459729570841,2.3381744674234177,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=4 seed=20260321; cost counted on attempts"
fixed_75,deterministic,4.0,0.1,206815.0,41325.0,37283.0,0.1998162609095085,0.18027222396828083,0.8001837390904916,0.8001837390904916,12.397582757237572,0.8789346246973365,0.825938566552901,0.8516129032258064,2.926768776240087,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=4 seed=20260321; cost counted on attempts"
delta_plus_heartbeat,deterministic,4.0,0.1,206815.0,60314.0,54278.0,0.29163261852380146,0.2624471145709934,0.7083673814761986,0.7083673814761986,9.512216708077384,0.9818401937046004,0.9386574074074074,0.9597633136094676,1.5138158917742186,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=4 seed=20260321; cost counted on attempts"
semantic_expert,deterministic,4.0,0.1,206815.0,57563.0,51815.0,0.2783308754200614,0.25053792036361,0.7216691245799386,0.7216691245799386,7.6084129032258065,0.9927360774818402,0.9727164887307236,0.9826243259436788,1.8244207743741248,frozen_expert_thresholds,new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=4 seed=20260321; cost counted on attempts"
cmappo_kl,42,4.0,0.1,206815.0,47718.0,42943.0,0.230727945265092,0.2076396779730677,0.769272054734908,0.769272054734908,9.15707381370826,0.9878934624697336,0.9634002361275088,0.9754931261207412,2.0846719017260145,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=4 seed=20260321; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,123,4.0,0.1,206815.0,51212.0,46093.0,0.24762227111186325,0.22287068152696854,0.7523777288881368,0.7523777288881368,8.784764997946764,0.9903147699757868,0.9749702026221692,0.9825825825825826,1.92145467267921,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=4 seed=20260321; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,4.0,0.1,206815.0,48046.0,43304.0,0.23231390373038707,0.209385199332737,0.7676860962696129,0.7676860962696129,9.011546623774548,0.9891041162227604,0.9726190476190476,0.9807923169267708,2.087431970144612,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=4 seed=20260321; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,4.0,0.1,206815.0,50066.0,45151.0,0.24208108696177744,0.21831588617846867,0.7579189130382226,0.7579189130382226,8.923594615993666,0.9903147699757868,0.977299880525687,0.9837642814191222,1.9722515938423264,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=4 seed=20260321; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,4.0,0.1,206815.0,50517.0,45567.0,0.24426177985155817,0.22032734569542828,0.7557382201484418,0.7557382201484418,8.970182575907918,0.9891041162227604,0.9737783075089392,0.9813813813813814,1.9304229513294977,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=4 seed=20260321; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,0.0,0.2,206815.0,51149.0,40816.0,0.24731765104078524,0.19735512414476705,0.7526823489592147,0.7526823489592147,12.639124332074289,0.8631961259079903,0.8488095238095238,0.8559423769507803,2.911129684341471,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
fixed_75,deterministic,0.0,0.2,206815.0,41325.0,32882.0,0.1998162609095085,0.1589923361458308,0.8001837390904916,0.8001837390904916,13.179482904336728,0.8559322033898306,0.8145161290322581,0.8347107438016529,3.684081013839216,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
delta_plus_heartbeat,deterministic,0.0,0.2,206815.0,65159.0,52020.0,0.315059352561468,0.2515291444044194,0.684940647438532,0.684940647438532,9.790115959817824,0.9636803874092008,0.9277389277389276,0.9453681710213776,1.610593220338983,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
semantic_expert,deterministic,0.0,0.2,206815.0,61693.0,49344.0,0.2983004134129536,0.2385900442424389,0.7016995865870463,0.7016995865870463,8.039677146903239,0.9709443099273608,0.9581839904420548,0.9645219482862296,1.92099595708288,frozen_expert_thresholds,new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
cmappo_kl,42,0.0,0.2,206815.0,51971.0,41436.0,0.25129221768246984,0.20035297246331263,0.7487077823175301,0.7487077823175301,9.450111561927452,0.9673123486682808,0.954599761051374,0.9609140108238124,2.1738881977919453,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,123,0.0,0.2,206815.0,55672.0,44381.0,0.26918743804849743,0.21459275197640404,0.7308125619515026,0.7308125619515026,9.112193260031766,0.9685230024213076,0.9580838323353292,0.963275135460566,2.010904213963614,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,0.0,0.2,206815.0,52252.0,41732.0,0.25265091990426225,0.20178420327345695,0.7473490800957378,0.7473490800957378,9.298952648061883,0.9673123486682808,0.9557416267942584,0.9614921780986764,2.1762789612812936,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,0.0,0.2,206815.0,54487.0,43455.0,0.26345767956869665,0.21011532045547954,0.7365423204313033,0.7365423204313033,9.244925318315378,0.9685230024213076,0.9569377990430622,0.9626955475330928,2.0618138703156585,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,0.0,0.2,206815.0,55002.0,43875.0,0.26594782776877884,0.21214612092933297,0.7340521722312212,0.7340521722312212,9.25989321222536,0.9673123486682808,0.9568862275449102,0.9620710415412402,2.0206694137770174,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,1.0,0.2,206815.0,51149.0,40940.0,0.24731765104078524,0.19795469380847616,0.7526823489592147,0.7526823489592147,12.505850791258478,0.8704600484261501,0.8399532710280374,0.8549346016646848,2.884555279116778,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
fixed_75,deterministic,1.0,0.2,206815.0,41325.0,33058.0,0.1998162609095085,0.1598433382491599,0.8001837390904916,0.8001837390904916,13.002394148149428,0.8619854721549637,0.8155784650630011,0.8381400824014127,3.662167625563676,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
delta_plus_heartbeat,deterministic,1.0,0.2,206815.0,65017.0,52081.0,0.3143727485917366,0.2518240939970505,0.6856272514082634,0.6856272514082634,9.799953468533095,0.9685230024213076,0.9142857142857144,0.940623162845385,1.611530088633183,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
semantic_expert,deterministic,1.0,0.2,206815.0,61574.0,49314.0,0.2977250199453618,0.23844498706573508,0.7022749800546382,0.7022749800546382,7.986006438054361,0.9782082324455206,0.9539551357733176,0.9659294680215182,1.9213380500699733,frozen_expert_thresholds,new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=1 seed=20260318; cost counted on attempts"
cmappo_kl,42,1.0,0.2,206815.0,51718.0,41544.0,0.2500689021589343,0.20087517829944637,0.7499310978410657,0.7499310978410657,9.44488748782303,0.9782082324455206,0.9494712103407756,0.9636255217650568,2.166334940133728,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,123,1.0,0.2,206815.0,55430.0,44511.0,0.26801731015642,0.2152213330754539,0.73198268984358,0.73198268984358,9.03745440654574,0.9782082324455206,0.957345971563981,0.9676646706586828,2.005628984605816,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,1.0,0.2,206815.0,52195.0,41802.0,0.252375311268525,0.2021226700190992,0.747624688731475,0.747624688731475,9.248471332561676,0.9782082324455206,0.9539551357733176,0.9659294680215182,2.176566630384077,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,1.0,0.2,206815.0,54279.0,43577.0,0.26245194981021686,0.21070521964074174,0.7375480501897831,0.7375480501897831,9.184791531383624,0.9782082324455206,0.9596199524940616,0.9688249400479616,2.056643601306173,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,1.0,0.2,206815.0,54938.0,43989.0,0.2656383724584774,0.2126973382008075,0.7343616275415226,0.7343616275415226,9.212957390097404,0.9782082324455206,0.9562130177514792,0.9670855774985038,2.0170618877313014,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=1 seed=20260318; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,2.0,0.2,206815.0,51149.0,40835.0,0.24731765104078524,0.1974469936900128,0.7526823489592147,0.7526823489592147,12.508567297264731,0.8535108958837773,0.8392857142857143,0.8463385354141656,2.9111141346602394,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=2 seed=20260319; cost counted on attempts"
fixed_75,deterministic,2.0,0.2,206815.0,41325.0,33102.0,0.1998162609095085,0.16005608877499214,0.8001837390904916,0.8001837390904916,13.134969748953734,0.8656174334140436,0.7874449339207048,0.8246828143021915,3.612952884465869,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=2 seed=20260319; cost counted on attempts"
delta_plus_heartbeat,deterministic,2.0,0.2,206815.0,65049.0,52157.0,0.3145274762468873,0.2521915721780335,0.6854725237531127,0.6854725237531127,9.763200093108663,0.9685230024213076,0.9195402298850576,0.9433962264150942,1.6094658684496967,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=2 seed=20260319; cost counted on attempts"
