metric,scenario,method,previous_value,rerun_value,absolute_difference,tolerance,match
mae_mean,validation,fixed_75,11.755109070034443,11.755109070034443,0.0,1e-06,True
recall_mean,validation,fixed_75,0.8849878934624698,0.8849878934624698,0.0,1e-08,True
precision_mean,validation,fixed_75,0.8431372549019608,0.8431372549019608,0.0,1e-08,True
f1_mean,validation,fixed_75,0.8635558180744242,0.8635558180744242,0.0,1e-08,True
aoi_raw_mean,validation,fixed_75,2.3895933758357955,2.3895933758357955,0.0,1e-06,True
n_true_events_mean,validation,fixed_75,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,fixed_75,731.0,731.0,0.0,1e-06,True
event_fn_mean,validation,fixed_75,95.0,95.0,0.0,1e-06,True
event_fp_mean,validation,fixed_75,136.0,136.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,fixed_75,0/1,0/1,0.0,0.0,True
mae_pass_count,validation,fixed_75,0,0,0.0,0.0,True
event_pass_count,validation,fixed_75,0,0,0.0,0.0,True
aoi_pass_count,validation,fixed_75,1,1,0.0,0.0,True
all_constraints_pass_count,validation,fixed_75,0,0,0.0,0.0,True
n_runs,validation,fixed_75,1,1,0.0,0.0,True
result_source,validation,fixed_75,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,fixed_90,0.8335759011677103,0.8335759011677103,0.0,1e-08,True
mae_mean,validation,fixed_90,12.517337989280492,12.517337989280492,0.0,1e-06,True
recall_mean,validation,fixed_90,0.860774818401937,0.860774818401937,0.0,1e-08,True
precision_mean,validation,fixed_90,0.8315789473684211,0.8315789473684211,0.0,1e-08,True
f1_mean,validation,fixed_90,0.8459250446162999,0.8459250446162999,0.0,1e-08,True
aoi_raw_mean,validation,fixed_90,3.0066319390452496,3.0066319390452496,0.0,1e-06,True
n_true_events_mean,validation,fixed_90,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,fixed_90,711.0,711.0,0.0,1e-06,True
event_fn_mean,validation,fixed_90,115.0,115.0,0.0,1e-06,True
event_fp_mean,validation,fixed_90,144.0,144.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,fixed_90,0/1,0/1,0.0,0.0,True
mae_pass_count,validation,fixed_90,0,0,0.0,0.0,True
event_pass_count,validation,fixed_90,0,0,0.0,0.0,True
aoi_pass_count,validation,fixed_90,1,1,0.0,0.0,True
all_constraints_pass_count,validation,fixed_90,0,0,0.0,0.0,True
n_runs,validation,fixed_90,1,1,0.0,0.0,True
result_source,validation,fixed_90,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,delta_plus_heartbeat,0.7282692261199624,0.7282692261199624,0.0,1e-08,True
mae_mean,validation,delta_plus_heartbeat,9.224011897727348,9.224011897727348,0.0,1e-06,True
recall_mean,validation,delta_plus_heartbeat,0.9903147699757868,0.9903147699757868,0.0,1e-08,True
precision_mean,validation,delta_plus_heartbeat,0.9500580720092916,0.9500580720092916,0.0,1e-08,True
f1_mean,validation,delta_plus_heartbeat,0.9697688203912268,0.9697688203912268,0.0,1e-08,True
aoi_raw_mean,validation,delta_plus_heartbeat,1.4430765044316591,1.4430765044316591,0.0,1e-06,True
n_true_events_mean,validation,delta_plus_heartbeat,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,delta_plus_heartbeat,818.0,818.0,0.0,1e-06,True
event_fn_mean,validation,delta_plus_heartbeat,8.0,8.0,0.0,1e-06,True
event_fp_mean,validation,delta_plus_heartbeat,43.0,43.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,delta_plus_heartbeat,0/1,0/1,0.0,0.0,True
mae_pass_count,validation,delta_plus_heartbeat,0,0,0.0,0.0,True
event_pass_count,validation,delta_plus_heartbeat,1,1,0.0,0.0,True
aoi_pass_count,validation,delta_plus_heartbeat,1,1,0.0,0.0,True
all_constraints_pass_count,validation,delta_plus_heartbeat,0,0,0.0,0.0,True
n_runs,validation,delta_plus_heartbeat,1,1,0.0,0.0,True
result_source,validation,delta_plus_heartbeat,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,semantic_expert,0.7389260933684694,0.7389260933684694,0.0,1e-08,True
mae_mean,validation,semantic_expert,7.218922792024657,7.218922792024657,0.0,1e-06,True
recall_mean,validation,semantic_expert,0.9987893462469734,0.9987893462469734,0.0,1e-08,True
precision_mean,validation,semantic_expert,0.9880239520958084,0.9880239520958084,0.0,1e-08,True
f1_mean,validation,semantic_expert,0.9933774834437086,0.9933774834437086,0.0,1e-08,True
aoi_raw_mean,validation,semantic_expert,1.748631628051625,1.748631628051625,0.0,1e-06,True
n_true_events_mean,validation,semantic_expert,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,semantic_expert,825.0,825.0,0.0,1e-06,True
event_fn_mean,validation,semantic_expert,1.0,1.0,0.0,1e-06,True
event_fp_mean,validation,semantic_expert,10.0,10.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,semantic_expert,1/1,1/1,0.0,0.0,True
mae_pass_count,validation,semantic_expert,1,1,0.0,0.0,True
event_pass_count,validation,semantic_expert,1,1,0.0,0.0,True
aoi_pass_count,validation,semantic_expert,1,1,0.0,0.0,True
all_constraints_pass_count,validation,semantic_expert,1,1,0.0,0.0,True
n_runs,validation,semantic_expert,1,1,0.0,0.0,True
result_source,validation,semantic_expert,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,campus_senserl_bc,0.7975881826753378,0.7975881826753378,0.0,1e-08,True
mae_mean,validation,campus_senserl_bc,9.204679195085538,9.204679195085538,0.0,1e-06,True
recall_mean,validation,campus_senserl_bc,0.9929782082324456,0.9929782082324456,0.0,1e-08,True
precision_mean,validation,campus_senserl_bc,0.970192326752546,0.970192326752546,0.0,1e-08,True
f1_mean,validation,campus_senserl_bc,0.9814528134079998,0.9814528134079998,0.0,1e-08,True
aoi_raw_mean,validation,campus_senserl_bc,2.125630539573939,2.125630539573939,0.0,1e-06,True
n_true_events_mean,validation,campus_senserl_bc,,,0.0,1e-06,True
event_tp_mean,validation,campus_senserl_bc,,,0.0,1e-06,True
event_fn_mean,validation,campus_senserl_bc,,,0.0,1e-06,True
event_fp_mean,validation,campus_senserl_bc,,,0.0,1e-06,True
all_constraints_satisfied_kn,validation,campus_senserl_bc,0/1,0/1,0.0,0.0,True
mae_pass_count,validation,campus_senserl_bc,0,0,0.0,0.0,True
event_pass_count,validation,campus_senserl_bc,1,1,0.0,0.0,True
aoi_pass_count,validation,campus_senserl_bc,1,1,0.0,0.0,True
all_constraints_pass_count,validation,campus_senserl_bc,0,0,0.0,0.0,True
n_runs,validation,campus_senserl_bc,1,1,0.0,0.0,True
result_source,validation,campus_senserl_bc,legacy_frozen,legacy_frozen,0.0,0.0,True
transmission_reduction_mean,validation,cmappo_kl,0.7779019897009405,0.7779019897009405,0.0,1e-08,True
mae_mean,validation,cmappo_kl,8.742403611902981,8.742403611902981,0.0,1e-06,True
recall_mean,validation,cmappo_kl,0.9944309927360774,0.9944309927360774,0.0,1e-08,True
precision_mean,validation,cmappo_kl,0.9849194370427232,0.9849194370427232,0.0,1e-08,True
f1_mean,validation,cmappo_kl,0.9896465943715732,0.9896465943715732,0.0,1e-08,True
aoi_raw_mean,validation,cmappo_kl,1.927891463225004,1.927891463225004,0.0,1e-06,True
n_true_events_mean,validation,cmappo_kl,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,cmappo_kl,821.4,821.4,0.0,1e-06,True
event_fn_mean,validation,cmappo_kl,4.6,4.6,0.0,1e-06,True
event_fp_mean,validation,cmappo_kl,12.6,12.6,0.0,1e-06,True
all_constraints_satisfied_kn,validation,cmappo_kl,5/5,5/5,0.0,0.0,True
mae_pass_count,validation,cmappo_kl,5,5,0.0,0.0,True
event_pass_count,validation,cmappo_kl,5,5,0.0,0.0,True
aoi_pass_count,validation,cmappo_kl,5,5,0.0,0.0,True
all_constraints_pass_count,validation,cmappo_kl,5,5,0.0,0.0,True
n_runs,validation,cmappo_kl,5,5,0.0,0.0,True
result_source,validation,cmappo_kl,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,fixed_15,0.0,0.0,0.0,1e-08,True
mae_mean,frozen_temporal_test,fixed_15,,,0.0,1e-06,True
recall_mean,frozen_temporal_test,fixed_15,1.0,1.0,0.0,1e-08,True
precision_mean,frozen_temporal_test,fixed_15,1.0,1.0,0.0,1e-08,True
f1_mean,frozen_temporal_test,fixed_15,1.0,1.0,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,fixed_15,0.0001554968123153,0.0001554968123153,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,fixed_15,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,fixed_15,102.0,102.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,fixed_15,0.0,0.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,fixed_15,0.0,0.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,fixed_15,,,0.0,0.0,True
mae_pass_count,frozen_temporal_test,fixed_15,0,0,0.0,0.0,True
event_pass_count,frozen_temporal_test,fixed_15,1,1,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,fixed_15,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,fixed_15,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,fixed_15,1,1,0.0,0.0,True
result_source,frozen_temporal_test,fixed_15,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,fixed_30,0.499064970390729,0.499064970390729,0.0,1e-08,True
mae_mean,frozen_temporal_test,fixed_30,9.36349012594506,9.36349012594506,0.0,1e-06,True
recall_mean,frozen_temporal_test,fixed_30,0.4411764705882353,0.4411764705882353,0.0,1e-08,True
precision_mean,frozen_temporal_test,fixed_30,0.371900826446281,0.371900826446281,0.0,1e-08,True
f1_mean,frozen_temporal_test,fixed_30,0.4035874439461883,0.4035874439461883,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,fixed_30,0.530146944487638,0.530146944487638,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,fixed_30,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,fixed_30,45.0,45.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,fixed_30,57.0,57.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,fixed_30,76.0,76.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,fixed_30,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,fixed_30,0,0,0.0,0.0,True
event_pass_count,frozen_temporal_test,fixed_30,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,fixed_30,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,fixed_30,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,fixed_30,1,1,0.0,0.0,True
result_source,frozen_temporal_test,fixed_30,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,fixed_45,0.6664399928219948,0.6664399928219948,0.0,1e-08,True
mae_mean,frozen_temporal_test,fixed_45,9.9274609563221,9.9274609563221,0.0,1e-06,True
recall_mean,frozen_temporal_test,fixed_45,0.3529411764705882,0.3529411764705882,0.0,1e-08,True
precision_mean,frozen_temporal_test,fixed_45,0.2666666666666666,0.2666666666666666,0.0,1e-08,True
f1_mean,frozen_temporal_test,fixed_45,0.3037974683544304,0.3037974683544304,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,fixed_45,1.1252837816824754,1.1252837816824754,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,fixed_45,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,fixed_45,36.0,36.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,fixed_45,66.0,66.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,fixed_45,99.0,99.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,fixed_45,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,fixed_45,0,0,0.0,0.0,True
event_pass_count,frozen_temporal_test,fixed_45,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,fixed_45,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,fixed_45,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,fixed_45,1,1,0.0,0.0,True
result_source,frozen_temporal_test,fixed_45,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,fixed_60,0.7513860161127325,0.7513860161127325,0.0,1e-08,True
mae_mean,frozen_temporal_test,fixed_60,10.550982955402484,10.550982955402484,0.0,1e-06,True
recall_mean,frozen_temporal_test,fixed_60,0.2647058823529412,0.2647058823529412,0.0,1e-08,True
precision_mean,frozen_temporal_test,fixed_60,0.3,0.3,0.0,1e-08,True
f1_mean,frozen_temporal_test,fixed_60,0.28125,0.28125,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,fixed_60,1.7559633027522936,1.7559633027522936,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,fixed_60,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,fixed_60,27.0,27.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,fixed_60,75.0,75.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,fixed_60,63.0,63.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,fixed_60,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,fixed_60,0,0,0.0,0.0,True
event_pass_count,frozen_temporal_test,fixed_60,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,fixed_60,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,fixed_60,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,fixed_60,1,1,0.0,0.0,True
result_source,frozen_temporal_test,fixed_60,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,fixed_75,0.7999792215642384,0.7999792215642384,0.0,1e-08,True
mae_mean,frozen_temporal_test,fixed_75,10.849440974722848,10.849440974722848,0.0,1e-06,True
recall_mean,frozen_temporal_test,fixed_75,0.2549019607843137,0.2549019607843137,0.0,1e-08,True
precision_mean,frozen_temporal_test,fixed_75,0.2653061224489796,0.2653061224489796,0.0,1e-08,True
f1_mean,frozen_temporal_test,fixed_75,0.2599999999999999,0.2599999999999999,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,fixed_75,2.162770175711398,2.162770175711398,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,fixed_75,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,fixed_75,26.0,26.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,fixed_75,76.0,76.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,fixed_75,72.0,72.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,fixed_75,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,fixed_75,0,0,0.0,0.0,True
event_pass_count,frozen_temporal_test,fixed_75,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,fixed_75,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,fixed_75,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,fixed_75,1,1,0.0,0.0,True
result_source,frozen_temporal_test,fixed_75,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,fixed_90,0.832662756542846,0.832662756542846,0.0,1e-08,True
mae_mean,frozen_temporal_test,fixed_90,11.338452725963148,11.338452725963148,0.0,1e-06,True
recall_mean,frozen_temporal_test,fixed_90,0.1176470588235294,0.1176470588235294,0.0,1e-08,True
precision_mean,frozen_temporal_test,fixed_90,0.116504854368932,0.116504854368932,0.0,1e-08,True
f1_mean,frozen_temporal_test,fixed_90,0.1170731707317073,0.1170731707317073,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,fixed_90,2.665234800186596,2.665234800186596,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,fixed_90,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,fixed_90,12.0,12.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,fixed_90,90.0,90.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,fixed_90,91.0,91.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,fixed_90,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,fixed_90,0,0,0.0,0.0,True
event_pass_count,frozen_temporal_test,fixed_90,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,fixed_90,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,fixed_90,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,fixed_90,1,1,0.0,0.0,True
result_source,frozen_temporal_test,fixed_90,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,delta_plus_heartbeat,0.7279630521633185,0.7279630521633185,0.0,1e-08,True
mae_mean,frozen_temporal_test,delta_plus_heartbeat,8.790012455238985,8.790012455238985,0.0,1e-06,True
recall_mean,frozen_temporal_test,delta_plus_heartbeat,0.9607843137254902,0.9607843137254902,0.0,1e-08,True
precision_mean,frozen_temporal_test,delta_plus_heartbeat,0.8099173553719008,0.8099173553719008,0.0,1e-08,True
f1_mean,frozen_temporal_test,delta_plus_heartbeat,0.8789237668161435,0.8789237668161435,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,delta_plus_heartbeat,1.4026162338672057,1.4026162338672057,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,delta_plus_heartbeat,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,delta_plus_heartbeat,98.0,98.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,delta_plus_heartbeat,4.0,4.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,delta_plus_heartbeat,23.0,23.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,delta_plus_heartbeat,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,delta_plus_heartbeat,1,1,0.0,0.0,True
event_pass_count,frozen_temporal_test,delta_plus_heartbeat,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,delta_plus_heartbeat,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,delta_plus_heartbeat,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,delta_plus_heartbeat,1,1,0.0,0.0,True
result_source,frozen_temporal_test,delta_plus_heartbeat,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,semantic_expert,0.7445574665419961,0.7445574665419961,0.0,1e-08,True
mae_mean,frozen_temporal_test,semantic_expert,7.216203874012153,7.216203874012153,0.0,1e-06,True
recall_mean,frozen_temporal_test,semantic_expert,0.9803921568627452,0.9803921568627452,0.0,1e-08,True
precision_mean,frozen_temporal_test,semantic_expert,0.9345794392523364,0.9345794392523364,0.0,1e-08,True
f1_mean,frozen_temporal_test,semantic_expert,0.9569377990430622,0.9569377990430622,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,semantic_expert,1.7669841393251438,1.7669841393251438,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,semantic_expert,102.0,102.0,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,semantic_expert,100.0,100.0,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,semantic_expert,2.0,2.0,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,semantic_expert,7.0,7.0,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,semantic_expert,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,semantic_expert,1,1,0.0,0.0,True
event_pass_count,frozen_temporal_test,semantic_expert,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,semantic_expert,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,semantic_expert,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,semantic_expert,1,1,0.0,0.0,True
result_source,frozen_temporal_test,semantic_expert,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,campus_senserl_bc,0.802301683997771,0.802301683997771,0.0,1e-08,True
mae_mean,frozen_temporal_test,campus_senserl_bc,9.004188944374237,9.004188944374237,0.0,1e-06,True
recall_mean,frozen_temporal_test,campus_senserl_bc,0.9254901960784314,0.9254901960784314,0.0,1e-08,True
precision_mean,frozen_temporal_test,campus_senserl_bc,0.8806468256300736,0.8806468256300736,0.0,1e-08,True
f1_mean,frozen_temporal_test,campus_senserl_bc,0.9025008325008326,0.9025008325008326,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,campus_senserl_bc,2.129224070906546,2.129224070906546,0.0,1e-06,True
n_true_events_mean,frozen_temporal_test,campus_senserl_bc,,,0.0,1e-06,True
event_tp_mean,frozen_temporal_test,campus_senserl_bc,,,0.0,1e-06,True
event_fn_mean,frozen_temporal_test,campus_senserl_bc,,,0.0,1e-06,True
event_fp_mean,frozen_temporal_test,campus_senserl_bc,,,0.0,1e-06,True
all_constraints_satisfied_kn,frozen_temporal_test,campus_senserl_bc,0/1,0/1,0.0,0.0,True
mae_pass_count,frozen_temporal_test,campus_senserl_bc,0,0,0.0,0.0,True
event_pass_count,frozen_temporal_test,campus_senserl_bc,0,0,0.0,0.0,True
aoi_pass_count,frozen_temporal_test,campus_senserl_bc,1,1,0.0,0.0,True
all_constraints_pass_count,frozen_temporal_test,campus_senserl_bc,0,0,0.0,0.0,True
n_runs,frozen_temporal_test,campus_senserl_bc,1,1,0.0,0.0,True
result_source,frozen_temporal_test,campus_senserl_bc,legacy_frozen,legacy_frozen,0.0,0.0,True
transmission_reduction_mean,frozen_temporal_test,cmappo_kl,0.7823439964487764,0.7823439964487764,0.0,1e-08,True
mae_mean,frozen_temporal_test,cmappo_kl,8.612843442936295,8.612843442936295,0.0,1e-06,True
recall_mean,frozen_temporal_test,cmappo_kl,0.9529411764705882,0.9529411764705882,0.0,1e-08,True
precision_mean,frozen_temporal_test,cmappo_kl,0.9137775596384016,0.9137775596384016,0.0,1e-08,True
f1_mean,frozen_temporal_test,cmappo_kl,0.93286098544907,0.93286098544907,0.0,1e-08,True
aoi_raw_mean,frozen_temporal_test,cmappo_kl,1.945431503654175,1.945431503654175,0.0,1e-06,True
