scenario,split,cohort,method,configuration,packet_loss,target_reduction,n_runs,aggregation,runs,source,result_source,n_available_mean,n_available_std,n_tx_attempts_mean,n_tx_attempts_std,n_delivered_mean,n_delivered_std,transmission_rate_mean,transmission_rate_std,transmission_reduction_mean,transmission_reduction_std,mae_mean,mae_std,event_tp_mean,event_tp_std,event_fp_mean,event_fp_std,event_fn_mean,event_fn_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aoi_raw_mean,aoi_raw_std,n_true_events_mean,n_true_events_std,mae_pass_count,mae_pass_count_n,mae_ok_kn,mae_ok,event_pass_count,event_pass_count_n,event_ok_kn,event_ok,aoi_pass_count,aoi_pass_count_n,aoi_ok_kn,aoi_ok,all_constraints_pass_count,all_constraints_pass_count_n,all_constraints_satisfied_kn,all_constraints_satisfied,constraint_display,n_policies,n_loss_masks,n_eval_rows
heldout_sensors,val,heldout,campus_senserl_bc,tau=0.5,0.0,,5,mean_of_n,"123,2024,3407,42,9999",legacy_frozen_csv,legacy_frozen,203488.0,0.0,42108.4,282.55937429149293,42108.4,282.55937429149293,0.206933086963359,0.0013885800356359531,0.7930669130366409,0.0013885800356359757,9.334631744885735,0.13614280400924106,1683.4,1.5165750888103102,57.0,10.392304845413264,8.6,1.51657508881031,0.9672739118161664,0.005757074254780626,0.994917257683215,0.0008963209744742695,0.9808950449200511,0.0032576138426834247,2.1025330430726172,0.019897394030599518,1692.0,0.0,0,5,0/5,False,5,5,5/5,True,5,5,5/5,True,0,5,0/5,False,0/5,,,
validation_cohort,val,final,campus_senserl_bc,tau=0.5 (legacy mean of 5),0.0,,1,single_run,mean_of_5,legacy_frozen_summary,legacy_frozen,,0.0,,0.0,,0.0,0.2024118173246621,0.0,0.7975881826753378,0.0,9.204679195085538,0.0,,0.0,,0.0,,0.0,0.970192326752546,0.0,0.9929782082324456,0.0,0.9814528134079998,0.0,2.125630539573939,0.0,,0.0,0,1,0/1,False,1,1,1/1,True,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,cmappo_kl,tau=0.5,0.0,,5,mean_of_n,"123,2024,3407,42,9999",revision_eval,new_evaluation,206815.0,0.0,45933.2,1497.5488973652912,45933.2,1497.5488973652912,0.2220980102990595,0.007241007167590813,0.7779019897009405,0.007241007167590802,8.742403611902981,0.13828572702839373,821.4,1.1401754250991378,12.6,5.412947441089743,4.6,1.1401754250991378,0.9849194370427231,0.006367973977900219,0.9944309927360774,0.0013803576575049511,0.9896465943715731,0.0038042418624563267,1.927891463225004,0.08305142533727662,826.0,0.0,5,5,5/5,True,5,5,5/5,True,5,5,5/5,True,5,5,5/5,True,5/5,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=3",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,51891.0,0.0,51891.0,0.0,0.250905398544593,0.0,0.749094601455407,0.0,10.569679326637576,0.0,808.0,0.0,103.0,0.0,18.0,0.0,0.8869374313940724,0.0,0.9782082324455206,0.0,0.9303396660909614,0.0,1.4979513294977451,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=4",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,41573.0,0.0,41573.0,0.0,0.2010154002369267,0.0,0.7989845997630733,0.0,11.17594195180402,0.0,798.0,0.0,111.0,0.0,28.0,0.0,0.8778877887788779,0.0,0.9661016949152542,0.0,0.919884726224784,0.0,1.9996928937956773,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=5",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,34682.0,0.0,34682.0,0.0,0.1676957667480598,0.0,0.8323042332519401,0.0,11.738771763694352,0.0,782.0,0.0,128.0,0.0,44.0,0.0,0.8593406593406593,0.0,0.946731234866828,0.0,0.900921658986175,0.0,2.49197247706422,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=6",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,29769.0,0.0,29769.0,0.0,0.143940236443198,0.0,0.8560597635568019,0.0,12.32960360584255,0.0,760.0,0.0,149.0,0.0,66.0,0.0,0.8360836083608361,0.0,0.9200968523002422,0.0,0.8760806916426512,0.0,2.993597418752916,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,56198.0,0.0,56198.0,0.0,0.2717307738800377,0.0,0.7282692261199624,0.0,9.224011897727348,0.0,818.0,0.0,43.0,0.0,8.0,0.0,0.9500580720092916,0.0,0.9903147699757868,0.0,0.9697688203912268,0.0,1.4430765044316591,0.0,826.0,0.0,0,1,0/1,False,1,1,1/1,True,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=4",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,46256.0,0.0,46256.0,0.0,0.2236588255203926,0.0,0.7763411744796074,0.0,9.647045634315113,0.0,816.0,0.0,60.0,0.0,10.0,0.0,0.9315068493150684,0.0,0.9878934624697336,0.0,0.9588719153936546,0.0,1.9077048670502248,0.0,826.0,0.0,0,1,0/1,False,1,1,1/1,True,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=5",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,39654.0,0.0,39654.0,0.0,0.1917365761671058,0.0,0.8082634238328941,0.0,10.056430626761026,0.0,817.0,0.0,60.0,0.0,9.0,0.0,0.9315849486887116,0.0,0.9891041162227604,0.0,0.9594832648267764,0.0,2.372364329031255,0.0,826.0,0.0,0,1,0/1,False,1,1,1/1,True,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=6",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,34921.0,0.0,34921.0,0.0,0.1688513889224669,0.0,0.831148611077533,0.0,10.492885150150672,0.0,816.0,0.0,70.0,0.0,10.0,0.0,0.9209932279909706,0.0,0.9878934624697336,0.0,0.9532710280373832,0.0,2.831507541595397,0.0,826.0,0.0,0,1,0/1,False,1,1,1/1,True,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=3",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,52459.0,0.0,52459.0,0.0,0.2536518144235186,0.0,0.7463481855764814,0.0,10.087777605016974,0.0,806.0,0.0,73.0,0.0,20.0,0.0,0.9169510807736064,0.0,0.9757869249394672,0.0,0.9454545454545454,0.0,1.4920230135282226,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=4",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,42178.0,0.0,42178.0,0.0,0.2039407199671203,0.0,0.7960592800328796,0.0,10.597107576061276,0.0,798.0,0.0,87.0,0.0,28.0,0.0,0.9016949152542372,0.0,0.9661016949152542,0.0,0.9327878433664524,0.0,1.9891851967034675,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=5",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,35326.0,0.0,35326.0,0.0,0.1708096608079684,0.0,0.8291903391920316,0.0,11.132871496130948,0.0,796.0,0.0,105.0,0.0,30.0,0.0,0.8834628190899001,0.0,0.9636803874092008,0.0,0.9218297625940938,0.0,2.4793266988026748,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
