deveui,train_coverage,val_coverage,test_coverage,train_n_obs,train_std,train_mean,has_floor,in_final,exclusion_reason
A81758FFFE031052,0.7199419568822554,0.7021144278606966,0.7663246268656716,13891,52.81930520742859,400.63926283204955,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031053,0.6611214759535655,0.6812810945273632,0.6721082089552238,12756,71.43490632462273,805.1957510191282,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031054,0.7574626865671642,0.8154539800995025,0.8813743781094527,14616,47.04172545378165,411.95805966064586,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031055,0.7943615257048093,0.7961753731343284,0.8602300995024875,15327,61.65149325187175,420.69667906309127,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031056,0.7398942786069652,0.7899564676616916,0.8166977611940298,14276,31.926472800621422,365.8984309330345,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031057,0.7484452736318408,0.7381840796019901,0.8254042288557214,14441,58.03464450987167,469.58236964199153,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031059,0.7738909618573798,0.8580534825870647,0.8599191542288557,14932,47.8128936627045,374.12731047414945,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03105A,0.7952943615257048,0.8235385572139303,0.8743781094527363,15346,35.82391632490631,413.2249446109735,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03105B,0.7738391376451078,0.7699004975124378,0.8624067164179104,14932,50.470905356010945,508.6189391909992,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03105C,0.7424854892205639,0.7470460199004975,0.8624067164179104,14326,46.422811047075456,347.03064358509005,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03105D,0.806799336650083,0.8330223880597015,0.7591728855721394,15567,21.716242888599023,475.77400912186033,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03105E,0.8161795190713101,0.8599191542288557,0.8952114427860697,15748,35.91942761918997,377.53422656845316,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03105F,0.7654954394693201,0.8330223880597015,0.8588308457711443,14770,50.25966309737473,445.6769126607989,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031060,0.5872719734660033,0.576181592039801,0.6358830845771144,11332,21.098521976007742,451.3701023649841,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031061,0.78125,0.806592039800995,0.8706467661691543,15074,94.26895975670035,418.19782406793155,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031062,0.7570999170812603,0.8481032338308457,0.8773320895522388,14608,91.45967731416118,461.473439211391,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031063,0.816386815920398,0.8513681592039801,0.8159203980099502,15752,17.259696924823526,406.5764982224479,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031064,0.8006840796019901,0.8143656716417911,0.8736007462686567,15450,39.03020487327421,400.261359223301,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031065,0.7235696517412935,0.6966728855721394,0.783271144278607,13961,59.03391562751001,483.760260726309,True,False,beyond_final_n_cap_or_node_order
